,first_artist_id,second_artist_id
0,6qJ61DomA73g7jQEKESw9Z,7fMJN4fdEwmFWd8uz5pnKx
1,6C0KWmCdqrLU2LzzWBPbOy,6qJ61DomA73g7jQEKESw9Z
2,6C0KWmCdqrLU2LzzWBPbOy,7fMJN4fdEwmFWd8uz5pnKx
3,6C0KWmCdqrLU2LzzWBPbOy,6L7a6wPGpvLtTwOsMLnF1z
4,6C0KWmCdqrLU2LzzWBPbOy,7IFPeV5Ew63S7Hid0AjNgK
5,6C0KWmCdqrLU2LzzWBPbOy,6Xhhpra0X0hpvC3yZaQ0Du
6,0wr85NuJuAYZsRzP1lJgiV,6qJ61DomA73g7jQEKESw9Z
7,0wr85NuJuAYZsRzP1lJgiV,7fMJN4fdEwmFWd8uz5pnKx
8,0wr85NuJuAYZsRzP1lJgiV,1Uk4IDpF1OIuTzANugS5JC
9,0wr85NuJuAYZsRzP1lJgiV,52I8HbScEEvgwiiSDaM7gP
10,0wr85NuJuAYZsRzP1lJgiV,4LBa6kTLaQHiONCfTfTaXV
11,0wr85NuJuAYZsRzP1lJgiV,18pYFSeMi7sOL6nGMICHtS
12,0wr85NuJuAYZsRzP1lJgiV,5cPNMq5lKAoAKyv5kdpz9s
13,0wr85NuJuAYZsRzP1lJgiV,27Z5l2Kfy1IaYZMg5INWqO
14,0wr85NuJuAYZsRzP1lJgiV,6Xhhpra0X0hpvC3yZaQ0Du
15,0wr85NuJuAYZsRzP1lJgiV,1Wt63OMKtv6v2ivHuQLm2C
16,0wr85NuJuAYZsRzP1lJgiV,7IFPeV5Ew63S7Hid0AjNgK
17,0wr85NuJuAYZsRzP1lJgiV,6GebWeCCtey5pbQepRYD6c
18,0wr85NuJuAYZsRzP1lJgiV,4ksdbwHbqSmv7sWP3W6L21
19,0wr85NuJuAYZsRzP1lJgiV,1Od0hPnXSqA9pipLqNXJ7e
20,0wr85NuJuAYZsRzP1lJgiV,1QsT3VKbdtjMxXoy9myb2X
21,0wr85NuJuAYZsRzP1lJgiV,1Ok5WQlGEnuFOiUlpCKcVT
22,7IFPeV5Ew63S7Hid0AjNgK,7MXzeG7zoG8pKpqKCOqcZL
23,7IFPeV5Ew63S7Hid0AjNgK,7fMJN4fdEwmFWd8uz5pnKx
24,7IFPeV5Ew63S7Hid0AjNgK,7tEAlsvmuaVnKQyswnonem
25,7MXzeG7zoG8pKpqKCOqcZL,7ikySCCJo3shAEZsoKEtVK
26,7MXzeG7zoG8pKpqKCOqcZL,7tEAlsvmuaVnKQyswnonem
27,6KlY7jizsLWQcXR1F2Sn9j,7tEAlsvmuaVnKQyswnonem
28,6KlY7jizsLWQcXR1F2Sn9j,7GVB7uYTgkeYtLJxYMYYDp
29,6KlY7jizsLWQcXR1F2Sn9j,6dzkjHwlCSs5uy93DoiZ1s
30,6KlY7jizsLWQcXR1F2Sn9j,79QnAdpXGrzcsIOFtW3gR4
31,7fMJN4fdEwmFWd8uz5pnKx,7ikySCCJo3shAEZsoKEtVK
32,1mRzzUiBiRmklHKtzlXvRz,5ADZt1NEbf0ImRvacK9kDl
33,1mRzzUiBiRmklHKtzlXvRz,3gNQSpKr5xvrDfqknSkaWc
34,1mRzzUiBiRmklHKtzlXvRz,5AtGLnu8GxRajsCHRxGdOh
35,1mRzzUiBiRmklHKtzlXvRz,4WBnZbV6k0m7JUs7TPjY2N
36,1mRzzUiBiRmklHKtzlXvRz,6e68sik2CrpAAsu6e2IKTS
37,1mRzzUiBiRmklHKtzlXvRz,7lZh2XFOqO7ePMGacEIp13
38,1mRzzUiBiRmklHKtzlXvRz,5KENAwkg6GClWnY28tokF8
39,1mRzzUiBiRmklHKtzlXvRz,2UBCeOEjEhqNkm6IFzVV4D
40,1mRzzUiBiRmklHKtzlXvRz,6Czf2AVSww2aOhW4M6QNHT
41,5AtGLnu8GxRajsCHRxGdOh,6e68sik2CrpAAsu6e2IKTS
42,5AtGLnu8GxRajsCHRxGdOh,6Czf2AVSww2aOhW4M6QNHT
43,5AtGLnu8GxRajsCHRxGdOh,7tEAlsvmuaVnKQyswnonem
44,5AtGLnu8GxRajsCHRxGdOh,5KENAwkg6GClWnY28tokF8
45,5ADZt1NEbf0ImRvacK9kDl,5AtGLnu8GxRajsCHRxGdOh
46,5ADZt1NEbf0ImRvacK9kDl,6e68sik2CrpAAsu6e2IKTS
47,5ADZt1NEbf0ImRvacK9kDl,7nB6UUQKYuec06ewKuLcPH
