song_id,artist_id
4dHCLMvN9knR6FMCBRnOWi,1Uk4IDpF1OIuTzANugS5JC
55ALtG6HBDnvpxQFcAsdUU,6qJ61DomA73g7jQEKESw9Z
0PYPvUYsR9zoKOeupVODf4,6qJ61DomA73g7jQEKESw9Z
0hfzISUU7T8ACOgHr8GUcX,6qJ61DomA73g7jQEKESw9Z
2cX7cICE1O9LXID6d1hao7,6qJ61DomA73g7jQEKESw9Z
5hYXgYtF5YPwWdQ7lXyowO,6qJ61DomA73g7jQEKESw9Z
5hYXgYtF5YPwWdQ7lXyowO,69SYuxQAcaKHdgZYFMkJaR
3IONX2tpYCHgO4tkeOFxLg,6qJ61DomA73g7jQEKESw9Z
5N8aNW5dhybAsJ9zPYSzSd,6qJ61DomA73g7jQEKESw9Z
2crUg7y0dXAJsGhysyfaz1,6qJ61DomA73g7jQEKESw9Z
02NPVNZy4GSTfeA6zwz66n,2iRqqPkOyIvvb7qFZN1Onz
02NPVNZy4GSTfeA6zwz66n,6qJ61DomA73g7jQEKESw9Z
02NPVNZy4GSTfeA6zwz66n,2yAKMlQWwUyDSDly68F3ve
6ZXPQoEtkuDS39PW8s1WWw,0wr85NuJuAYZsRzP1lJgiV
6ZXPQoEtkuDS39PW8s1WWw,6qJ61DomA73g7jQEKESw9Z
2DN3RJal92FOL9jm6NT4BA,6qJ61DomA73g7jQEKESw9Z
7C0Z15kboGCBLqYV5VAfPm,6qJ61DomA73g7jQEKESw9Z
0DsmJwKD4FmfFM2r5BE9kh,6qJ61DomA73g7jQEKESw9Z
46otznym4D9W6BowFf1Tyg,6qJ61DomA73g7jQEKESw9Z
0L51NNXdMpXB9PkIjc5aYS,6qJ61DomA73g7jQEKESw9Z
0Pb0DYZq7q9Q8fgOfkpAGl,3gk0OYeLFWYupGFRHqLSR7
0Pb0DYZq7q9Q8fgOfkpAGl,6qJ61DomA73g7jQEKESw9Z
32hf9MxA6a1cTYyqvI214O,6qJ61DomA73g7jQEKESw9Z
1n4l2UjEDmz0ilDtpU0khv,6qJ61DomA73g7jQEKESw9Z
1n4l2UjEDmz0ilDtpU0khv,0a5hlvWcFiDENO20b1JsTU
72UUyJoKw93zQLLfExjE1T,6qJ61DomA73g7jQEKESw9Z
72UUyJoKw93zQLLfExjE1T,1YzTGTdTUfhjVrYnNM5Pdm
72UUyJoKw93zQLLfExjE1T,5hFoA2Ac4W2JraWV3FqBPy
5LlxhQz8Q5xZbMYqgo1AYV,6qJ61DomA73g7jQEKESw9Z
5LlxhQz8Q5xZbMYqgo1AYV,2A93xi5QXe3A6lFOQ7CDUo
5LlxhQz8Q5xZbMYqgo1AYV,3TubBIvu0i92LcYVF8X3tl
0SKfsanUNL3Th95C3g63VV,6C0KWmCdqrLU2LzzWBPbOy
0SKfsanUNL3Th95C3g63VV,0wr85NuJuAYZsRzP1lJgiV
0SKfsanUNL3Th95C3g63VV,6qJ61DomA73g7jQEKESw9Z
3YSR13EazLG1OXUy1ib4D2,6qJ61DomA73g7jQEKESw9Z
55pJ3tOY6YFESCTg5G3kKy,6qJ61DomA73g7jQEKESw9Z
0GvnxW3PO423VRiyvlu4D3,6qJ61DomA73g7jQEKESw9Z
5Vawwou5bRd53QBzcoHRW5,6C0KWmCdqrLU2LzzWBPbOy
5Vawwou5bRd53QBzcoHRW5,0wr85NuJuAYZsRzP1lJgiV
5Vawwou5bRd53QBzcoHRW5,6qJ61DomA73g7jQEKESw9Z
2afcBfIFYGGkvzBKKxBF5A,6qJ61DomA73g7jQEKESw9Z
4fc0tzoM8JcUxO3yt1BCQ1,6qJ61DomA73g7jQEKESw9Z
106MQplb7IkyRsu3keoVFO,6qJ61DomA73g7jQEKESw9Z
4EzWOXBhqasUyggM46FhuN,6qJ61DomA73g7jQEKESw9Z
3GLAZJuTEswv5xF5Qm6gWS,6qJ61DomA73g7jQEKESw9Z
11KfKmiBYl9NG4YzJbk7O6,6qJ61DomA73g7jQEKESw9Z
11KfKmiBYl9NG4YzJbk7O6,0wr85NuJuAYZsRzP1lJgiV
6rDs8YChnJPp9tm4lPkWxA,0wr85NuJuAYZsRzP1lJgiV
